			Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1
Time (y)	Year	DOY	DAYL	DAYLGE	DAVTMP	LT50	RAIN	EVAP	TRAN	DRAIN	WAL	WCLM	ROOTD	WCL	TRANRF	CLV	CLVD	CRES	CRT	CST	CSTUB	DM	RGRTV	TILTOT	TILV	TILG1	TILG2	TSIZE	PHEN	PHENRF	VERND	VERN	HARVFRIN	HARVFR	RDRHARV	RES	RESMOB	SLANEW	SLA	LAI	LINT	PHOT	LERV	LERG	RLEAF	GRT	RDRT	RDLVD	DEBUG
2011.66530054645	2011	244	0.466918498814544	0.413437089905037	6.45	-4.789	0	1.62581471743379	0.316185282566215	0	53.07	37.031732	0.152921503521952	32.3188890502645	1	19.0985325856624	0	2.3993853343082	61.9441075076781	0	0	484.396468594647	0.00654424278273485	5510	5510	0	0	0.00346615836400406	0.01	1	19	0	0	0	0	0.123833754469217	0.396696166557866	0.0314243065772766	0.018609735	0.355418630308042	0.232221310161097	1.23618336189619	0.0037075	0.0030775	0.0351386115415402	0	0.01296	0.0270430975993343	0.00654424278273485
2011.66803278689	2011	245	0.468565620408235	0.417727586372064	6.25	-4.99820211145931	0	1.57019973114918	0.342554285769386	0	51.128	34.33089689824	0.152879434404944	29.976521426563	1	19.3554477012861	0.247516982310184	2.82319963945289	61.8186087458676	0	0	506.201428399573	0.00949159274739142	5541.33836073287	5541.33836073287	0	0	0.00349291929878222	0	1	0	1	0	0	0	0.140962338391859	0.595575595672149	0.0292937275152385	0.018943702021823	0.366663833752143	0.238613800524779	1.26775393223175	0.0035575	0.0027275	0.0344023904971063	0	0.01296	0.0225874277335811	0.00949159274739142
2011.67076502732	2011	246	0.47021726897318	0.422029874897578	6.35	-5.19877578041278	0	1.44226415815001	0.362812745020814	0	49.2152459830814	31.6707356263934	0.152837303093664	27.6705692664185	1	19.9205498194581	0.492772812568087	2.81004477246214	61.6933642445485	0	0	523.880511134359	0.0089918065928606	5589.1872231548	5586.67189705653	2.51532609826979	0	0.00356412283648892	0	1	0	1	0	0	0	0.136960440484878	0.565716841960521	0.0297990841998746	0.0193676406246125	0.385814049947956	0.249377747273777	1.33790378576383	0.0036325	0.0029025	0.0353128173092584	0	0.01296	0.0192024604771346	0.0089918065928606
2011.67349726776	2011	247	0.471873155226224	0.426343201943797	5.7	-5.38360956865204	0	1.21240214519508	0.363792727682967	0	47.4101690799106	29.1603262229639	0.152795109536925	25.4952210655069	1	20.8930096320159	0.741480687770719	2.24432793050162	61.568373488589	0	0	536.874649813355	0.00337902836097882	5634.6353945367	5629.38435017397	5.25104436272668	0	0.00370796123778899	0	1	0	1	0	0	0	0.107818003924243	0.245881805762855	0.0333424551367979	0.0199820685636667	0.417485550968291	0.266846735705318	1.37478124309307	0.003145	0.001765	0.0320220879045941	0	0.01296	0.0144410678980138	0.00337902836097882
2011.6762295082	2011	248	0.473532997652889	0.430666834209139	7.5	-5.51695501275728	0	1.23474448827044	0.435291317978802	0	45.8339742070326	26.9682343383691	0.152752853683644	23.5959284686774	1	21.6721790753283	1.00154631964448	1.99844612473877	61.4436359639011	0	0	553.821717451197	0.00162239619755889	5648.83455033799	5641.94798383657	6.88656650142435	0	0.00383657529393059	0	1	0	1	0	0	0	0.0939887702507847	0.092134982950639	0.0349441729164179	0.0206293335332911	0.44708261053816	0.282803861167744	1.63079890446105	0.004495	0.004915	0.0425616188769079	0	0.01296	0.0144959803460516	0.00162239619755889
2011.67896174863	2011	249	0.475196522099684	0.435000057566251	10.45	-5.53834520408051	0	1.10888355223473	0.461750692555045	0	44.1639384007833	24.9654824198888	0.152710535482846	21.8611246304755	1	22.5283275609374	1.26789936469551	1.90631114178813	61.3191511574383	0	0	576.462821336545	0.000267152094206228	5653.15456845604	5641.39011801533	11.764450440713	0	0.00398508961468042	0	1	0	1	0	0	0	0.086921182182986	0.0112059758183159	0.0357440150861278	0.021351813157141	0.481020640824005	0.300674406676379	1.98377332966147	0.0067075	0.0100775	0.0598992041318661	0	0.0147763	0.014861710970378	0.000267152094206228
2011.68169398907	2011	250	0.476863461360034	0.439342175983418	9.7	-5.5146286895247	0	0.437053426868886	0.207412313252391	0	42.5933041559935	24.0776168207991	0.152668154883659	21.0894403591036	1	23.5203751503799	1.58194153733656	1.89510516596981	61.1949185571933	0	0	605.206888876278	0	5649.8286987262	5627.80452224497	22.024176481229	0	0.00416302447465049	0	1	0	1	0	0	0	0.0831109733538361	0	0.03585	0.0221625443613521	0.521271357665937	0.321292655850863	1.77701507052206	0.006145	0.008765	0.0561552129007663	0	0.0137158	0.011904843812913	0
2011.68442622951	2011	251	0.478533554754554	0.443692510431243	11.6	-5.49080883644551	0	0.549314195582114	0.285618389653031	0	41.9488384158723	23.7133060575875	0.152625711835322	20.7698865524297	1	24.3784232017472	1.88570953190099	1.89510516596981	61.0709376521964	0	0	631.025023230315	0	5645.00735859199	5614.0121463867	30.995212205288	0	0.0043185812972665	0	1	0	1	0	0	0	0.0804209662505045	0	0.03585	0.0228254288357514	0.55644796391931	0.338813321815129	2.09994971994795	0.00757	0.01209	0.0678196484517383	0	0.0164024	0.0129078819138435	0
2011.68715846995	2011	252	0.480206547706336	0.448050397776338	11.8	-5.46353057687889	0	0.988258422061578	0.57009561731043	0	41.1139058306371	23.2413260772397	0.152583206287178	20.3576311780846	1	25.3737651469562	2.26123366466374	1.89510516596981	60.9472079325131	0	0	661.488713851912	0	5640.19783438618	5596.6783484221	43.5194859640855	0	0.00449873672732929	0	1	0	1	0	0	0	0.0775107988721484	0	0.03585	0.0235416003407002	0.597339038228432	0.358612560541336	2.51922876010227	0.00772	0.01244	0.0696665528233072	0	0.0166852	0.0117960994890315	0
