CLVP	2011	221	95.990590160581
CLVP	2011	313	94.8367531802607
CLVP	2012	11	66.8231413346866
CLVP	2012	82	64.1777157478483
CLVP	2012	229	82.7776246899972
CLVP	2012	311	91.1049723756906
CLVP	2013	16	50.3482972136223
CLVP	2013	127	80.7757805108798
CLVP	2013	238	95.2959830866808
CLVP	2013	319	88.1887755102041
CLVP	2014	14	73.3184689706429
CLVP	2014	146	69.5787225781402
CLVP	2014	260	92.2640536358948
CLVP	2014	315	71.4792678371311
CLVP	2015	7	64.3921828420007
CLVP	2015	98	47.682971680765
CLVP	2015	222	91.3289943313038
CLVP	2015	313	86.1943319838057
CLVP	2016	19	49.6122209165688
CLVP	2016	104	29.2739308605653
CLVP	2016	244	77.1321340753203
CLVP	2016	305	65.4391672088484
CLVP	2017	23	14.1279433215253
CLVP	2017	100	25.1376651982379
CSTP	2011	221	0
CSTP	2011	313	0
CSTP	2012	11	19.7919309819843
CSTP	2012	82	0
CSTP	2012	229	0
CSTP	2012	311	2.84530386740331
CSTP	2013	16	15.5959752321981
CSTP	2013	127	0
CSTP	2013	238	0
CSTP	2013	319	4.66836734693878
CSTP	2014	14	4.1620215533259
CSTP	2014	146	0
CSTP	2014	260	0
CSTP	2014	315	13.3545013074337
CSTP	2015	7	15.021530308049
CSTP	2015	98	0
CSTP	2015	222	0
CSTP	2015	313	8.76518218623482
CSTP	2016	19	12.021151586369
CSTP	2016	104	0
CSTP	2016	244	0
CSTP	2016	305	2.12101496421601
CSTP	2017	23	7.52240050010419
CSTP	2017	100	0
DM	2011	143	232
DM	2011	145	145.2
DM	2011	171	288
DM	2011	174	173.2
DM	2011	222	299.2
DM	2011	224	164.8
DM	2011	262	444.8
DM	2011	265	153.6
DM	2011	290	447.6
DM	2011	293	164.8
DM	2011	318	383.2
DM	2011	320	178.8
DM	2011	346	436.4
DM	2011	348	206.8
DM	2012	17	425.2
DM	2012	19	201.2
DM	2012	46	310.4
DM	2012	48	192.8
DM	2012	86	321.6
DM	2012	88	167.6
DM	2012	122	344
DM	2012	124	170.4
DM	2012	170	254.4
DM	2012	174	150.8
DM	2012	229	240.4
DM	2012	235	167.6
DM	2012	261	288
DM	2012	264	159.2
DM	2012	284	288
DM	2012	286	159.2
DM	2012	311	374.8
DM	2012	313	178.8
DM	2012	331	243.2
DM	2012	333	173.2
DM	2012	352	254.4
DM	2012	356	181.6
DM	2013	15	299.2
DM	2013	18	164.8
DM	2013	65	184.4
DM	2013	68	153.6
DM	2013	127	276.8
DM	2013	129	142.4
DM	2013	168	246
DM	2013	172	162
DM	2013	238	290.8
DM	2013	240	170.4
DM	2013	266	304.8
DM	2013	268	176
DM	2013	294	355.2
DM	2013	295	190
DM	2013	319	400
DM	2013	322	190
DM	2013	350	296.4
DM	2013	352	178.8
DM	2014	14	330
DM	2014	15	156.4
DM	2014	69	190
DM	2014	72	167.6
DM	2014	146	313.2
DM	2014	148	153.6
DM	2014	216	288
DM	2014	219	145.2
DM	2014	259	285.2
DM	2014	262	173.2
DM	2014	286	282.4
DM	2014	289	156.4
DM	2014	315	288
DM	2014	318	187.2
DM	2014	345	416.8
DM	2014	347	184.4
DM	2015	7	288
DM	2015	9	192.8
DM	2015	54	237.6
DM	2015	57	184.4
DM	2015	97	212.4
DM	2015	100	128.4
DM	2015	138	257.2
DM	2015	139	145.2
DM	2015	222	260
DM	2015	224	145.2
DM	2015	257	316
DM	2015	259	150.8
DM	2015	285	358
DM	2015	287	176
DM	2015	313	360.8
DM	2015	315	187.2
DM	2015	334	268.4
DM	2015	336	178.8
DM	2015	355	234.8
DM	2015	357	156.4
DM	2016	19	243.2
DM	2016	22	148
DM	2016	62	310.4
DM	2016	64	125.6
DM	2016	104	178.8
DM	2016	106	142.4
DM	2016	186	223.6
DM	2016	188	128.4
DM	2016	244	195.6
DM	2016	246	125.6
DM	2016	277	302
DM	2016	280	139.6
DM	2016	305	302
DM	2016	307	139.6
DM	2016	329	226.4
DM	2016	331	153.6
DM	2016	354	349.6
DM	2016	356	145.2
DM	2017	23	279.6
DM	2017	25	139.6
DM	2017	67	237.6
DM	2017	69	142.4
DM	2017	100	229.2
DM	2017	102	125.6
DM	2017	142	170.4
DM	2017	144	131.2
DM	2017	198	229.2
DM	2017	201	117.2
LINT	2011	160	0.760742705570292
LINT	2011	166	0.901251840942562
LINT	2011	175	0.146437346437346
LINT	2011	178	0.3704862419902
LINT	2011	185	0.706514084507042
LINT	2011	201	0.598885793871866
LINT	2011	209	0.906560134566863
LINT	2011	216	0.872819859961808
LINT	2011	222	0.977318548387097
LINT	2011	228	0.155971896955504
LINT	2011	231	0.247959697732997
LINT	2011	236	0.387397034596376
LINT	2011	243	0.871587228135123
LINT	2011	249	0.945211267605634
LINT	2011	262	0.993692149468632
LINT	2011	326	0.295178926441352
LINT	2011	334	0.564777448071217
LINT	2011	341	0.836373092926491
TILTOT	2011	125	2560
TILTOT	2011	235	6520
TILTOT	2011	332	5240
TILTOT	2012	109	2480
TILTOT	2013	140	3160
TILTOT	2014	119	2400
TILTOT	2015	106	3100
TILTOT	2016	118	1760
TILTOT	2017	110	700
WAL	2017	25	18.75
WAL	2017	76	36
WAL	2017	87	40.5
WAL	2017	109	39
WAL	2017	118	32
