row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
Hparam	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592
KRDRANAER	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
KRESPHARD	0.01	0.02982	0.0305	0.01725	0.0001119	0.6132	0.001027	0.04931	0.01	0.02982	0.0305	0.01725	0.0001119	0.6132	0.001027	0.04931	0.01	0.02982	0.0305	0.01725	0.0001119	0.6132	0.001027	0.04931
KRSR3H	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
KRTOTAER	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
KSNOW	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800
LDT50A	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34
LDT50B	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113
LT50MN	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68
LT50MX	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
RATEDMX	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
reHardRedDay	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145
RHOnewSnow	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100
RHOpack	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
