2011	246	52.7535694278002
2011	271	42.143230131008
2011	295	57.8990903893216
2011	315	51.5396096950757
2011	336	43.664080595858
2011	354	43.7609089340181
2012	18	63.5827722544579
2012	47	49.3729693145398
2012	60	41.8227362031041
2012	81	41.8527451165278
2012	110	50.8522072081989
2012	142	37.3510145326813
2012	242	52.8019835968802
2012	257	39.8225461073319
2012	284	42.1944468219553
2012	305	46.4909170717144
2012	325	56.256204732766
2012	349	58.9329966415041
2013	17	62.6068842911119
2013	40	38.8158462467058
2013	60	43.0502991316067
2013	82	43.7657109938963
2013	115	47.7484889136406
2013	143	39.6096811914991
2013	239	53.5542059704825
2013	268	44.8316256975133
2013	293	49.8735167229856
2013	326	49.8967240385202
2013	353	44.9448597533188
2014	9	41.4190171328184
2014	32	41.0889190851582
2014	57	47.1163021937329
2014	87	41.7975293495586
2014	105	34.205683666932
2014	134	35.6597147070457
2014	231	40.0762206104994
2014	266	39.7461225628392
2014	294	43.2535599276832
2014	322	54.1011680099974
2014	350	49.6614547910091
2015	13	39.1323410985879
2015	34	37.1457541985939
2015	62	32.4175555031363
2015	90	38.2000652444436
2015	124	36.0634337773314
2015	244	47.3979860723131
2015	287	53.2173063249332
2015	315	41.4790349596657
2015	343	38.7654325396149
2016	12	46.2092331931342
2016	33	41.8343398608714
2016	54	40.9736854913418
2016	97	35.0295275251489
2016	128	33.5851006047916
2016	244	40.611578992247
2016	278	44.4327086871058
2016	308	50.7989909792407
2016	329	36.420738216548
2016	354	43.1287222141104
2017	17	37.6715084605851
2017	54	32.5511943526091
2017	100	36.2154778824606
2017	149	35.8717766390222
2017	241	40.0045991258848
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
