			Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1	Run 1
Time (y)	Year	DOY	DAYL	DAYLGE	DAVTMP	LT50	RAIN	EVAP	TRAN	DRAIN	WAL	WCLM	ROOTD	WCL	TRANRF	CLV	CLVD	CRES	CRT	CST	CSTUB	DM	TILTOT	TILV	TILG1	TILG2	TSIZE	PHEN	VERND	VERN	HARVFRIN	HARVFR	RES	RESMOB	SLANEW	SLA	LAI	LINT	PHOT	LERV	LERG	RLEAF	RDRT	RDLVD	DEBUG
2011.66530054645	2011	244	0.466918498814544	0.491719397825256	6.45	-4.789	0	1.60875229439186	0.333247705608144	0	37.65	41.637713	0.0766520233765728	26.5266739476467	1	23.1739464996848	0	3.61326654523452	43.4510224171571	0	0	605.308252512747	3753	3753	0	0	0.00617477924318806	0.01	19	0	0	0	0.149232499731962	1.29841307564402	0.0214914573626086	0.01624751	0.376518927493094	0.217738069092914	1.95021876067894	0.0037075	0.0030775	0.0301768802661551	0.00948795	0.0335566880485452	0.0147140975807992
2011.66803278689	2011	245	0.468565620408235	0.497446524367995	6.25	-4.99820211145931	0	1.52987490815942	0.386275361957428	0	35.708	38.62192581416	0.076564210482911	24.6596576644348	1	25.082873083147	0.219873245691684	2.3148534695905	43.3233633132955	0	0	620.154588491732	3806.30309932074	3806.30309932074	0	0	0.00658982546282853	0	20	0	0	0	0.094058667395566	0.622222271930849	0.0280495158837383	0.0166925672393604	0.418697545496774	0.238963941483732	2.14810161410757	0.0035575	0.0027275	0.0295817390799236	0.00919375	0.028461933256386	0.00632327669861114
2011.67076502732	2011	246	0.47021726897318	0.503189391422741	6.35	-5.19877578041278	0	1.40000990469659	0.41250400203425	0	33.7918497298831	35.6462814110898	0.0764763763839997	22.8213181079818	1	25.9258847784583	0.444220892456125	2.78141679557851	43.1961308829444	0	0	655.537768132006	3828.42436873519	3828.42436873519	0	0	0.00677194644099069	0	21	0	0	0	0.107695618371989	0.833891830123425	0.0265040576169729	0.017162870078482	0.444962592122373	0.251889513418619	2.2855352429849	0.0036325	0.0029025	0.0304020231734958	0.00934085	0.0247343346702182	0.00837397985956557
2011.67349726776	2011	247	0.471873155226224	0.508946993137079	5.7	-5.38360956865204	0	1.17452115643788	0.411908543387376	0	31.9793358231523	32.8315768724309	0.0763885214738947	21.085098575723	1	27.1568812260201	0.675403185067474	2.79211423353329	43.0693235693934	0	0	688.298064973612	3858.52428272337	3858.52428272337	0	0	0.00703815221472512	0	22	0	0	0	0.1036744175545	0.813933635209778	0.026964664100902	0.0176695969771674	0.479851146420579	0.268720045382451	2.34247331024498	0.003145	0.001765	0.0276022631863116	0.0083847	0.0190290662408523	0.00702584565955096
2011.6762295082	2011	248	0.473532997652889	0.514718350670683	7.5	-5.57145323558915	0	1.19281631284946	0.492305326085734	0	30.392906123327	30.3679649465972	0.0763006461467376	19.5662703506522	1	28.3375130030055	0.890253195135354	2.9499607272211	42.9429398220251	0	0	723.254933694769	3883.65815278674	3883.65815278674	0	0	0.00729660332814611	0	0	1	0	0	0.104835825051495	0.867209437476228	0.0268320562482127	0.0181315485886434	0.513802993895308	0.284735098016276	2.75653863297801	0.004495	0.004915	0.0367306149384408	0.0110325	0.0201573780744146	0.0094687935531247
2011.67896174863	2011	249	0.475196522099684	0.52050251077776	10.45	-5.70384614121086	0	1.05152045431379	0.522911684149414	0	28.7077844843919	27.7510914938256	0.0762127507967487	17.957816599516	1	29.7483211985205	1.18494163710471	3.07007529414088	42.8169780962895	0	0	764.157723145193	3918.44242245499	3915.24913221629	3.19329023869931	0	0.00759187401301217	0	0	1	0	0	0.104024410819894	0.89725771064138	0.0269247385588741	0.0186356045502833	0.554377949890438	0.303414891663887	3.26295190596032	0.0067075	0.0100775	0.0517531040687687	0.01537195	0.0216505923369251	0.0130204443630218
2011.68169398907	2011	250	0.476863461360034	0.526298544367295	9.7	-5.75778687043157	0	0.387740184337513	0.234714024149062	0	27.1333523459286	25.3061109232015	0.07612483581822	16.4572903491315	1	31.3478673663058	1.61657665482431	3.2281122524626	42.6914368536794	0	0	813.246006781123	3967.41433623774	3957.46065709341	9.9536791443233	0	0.00790133439806862	0	0	1	0	0	0.103821579589576	0.942048836135307	0.0269478803659126	0.0191794816821039	0.601235847925086	0.324381032917909	2.70524305102307	0.006145	0.008765	0.0485737000985991	0.0142687	0.0146586052946526	0.0120369879367552
2011.68442622951	2011	251	0.478533554754554	0.532105545043652	11.6	-5.82300375112842	0	0.474039736664085	0.321005374176342	0	26.5108981374421	24.3394840304487	0.0760369016055077	15.8558792253653	1	32.5667865942577	2.0401732108023	3.40268638827638	42.5663145617047	0	0	854.110710930466	4013.02133114248	3997.06901050806	15.9523206344177	0	0.00811527871569679	0	0	1	0	0	0.105180445096943	1.00274849563103	0.0267926417975028	0.0195769357965541	0.637557890255863	0.340197846301881	3.1900692799949	0.00757	0.01209	0.0587290611085287	0.0170636	0.0146036903849762	0.0147781042944843
2011.68715846995	2011	252	0.480206547706336	0.537922627629819	11.8	-5.84034950368053	0	0.820819408256255	0.637456908429373	0	25.7158530266016	23.104835803138	0.0759489485530253	15.093620876782	1	34.0509103249182	2.56608577262979	3.52418590957608	42.441609693868	0	0	901.815672129357	4070.0402967673	4045.60647516112	24.4338216061769	0	0.00836623419968686	0	0	1	0	0	0.104291583386376	1.03197504792842	0.0268942398023907	0.0200091949038666	0.681331301345373	0.358768206265629	4.05857725455506	0.00772	0.01244	0.0603947384018256	0.0173578	0.011420848872685	0.0147957766780669
