									EVAP			
	TEMP	TEMP	SOLAR		WIND		RAIN	EVAP	Priestley	EVAP		
DATE	Max	Min	Radn	SUN	Run	RAIN	period	Penman	Taylor	Open-water		
 	degC	degC	Mj/m2	hrs	km	mm	hrs	mm	mm	mm		
--------	------	------	------	--------	------	-------	------	------	--------	----------		
30/03/2014	24.9	8.3	18.3	0	1.7	0	0	0	3.347	0	0	FALSE
31/03/2014	26.9	10.2	19.3	0	1.6	0	0	0	3.697	0	0	FALSE
01/04/2014	26.6	8.7	18.1	0	1.3	0	0	0	3.375	0	0	FALSE
02/04/2014	25.9	12.2	15.5	0	1.4	1.8	0	0	2.894	0	0	FALSE
03/04/2014	22.4	12.8	8.8	0	1.4	15.9	0	0	1.376	0	0	FALSE
04/04/2014	24.3	10.7	17.5	0	1.4	0	0	0	3.236	0	0	FALSE
05/04/2014	25.3	9.7	17.8	0	1.9	0	0	0	3.301	0	0	FALSE
06/04/2014	27.3	9.6	17.1	0	1.6	0	0	0	3.21	0	0	FALSE
07/04/2014	27.5	11.2	15.6	0	2.2	0	0	0	2.933	0	0	FALSE
08/04/2014	25.8	13.1	9.2	0	1.8	0	0	0	1.515	0	0	FALSE
09/04/2014	23.3	17.6	5.7	0	1.3	14.5	0	0	0.751	0	0	FALSE
10/04/2014	21.5	17.1	6.3	0	1.8	11.5	0	0	0.868	0	0	FALSE
11/04/2014	20.3	15.6	5.3	0	1.5	9.1	0	0	0.63	0	0	FALSE
12/04/2014	21.4	13.2	11.7	0	2.6	0	0	0	1.987	0	0	FALSE
13/04/2014	22	10.2	11.7	0	2.3	0	0	0	1.939	0	0	FALSE
14/04/2014	20.4	13.5	8	0	2.7	0	0	0	1.189	0	0	FALSE
15/04/2014	22.3	14.8	12	0	3.1	3.1	0	0	2.101	0	0	FALSE
16/04/2014	21.5	15.1	7.8	0	3.5	16.9	0	0	1.178	0	0	FALSE
17/04/2014	21.9	15.4	5	0	6.5	20.3	0	0	0.573	0	0	FALSE
18/04/2014	23.4	15.8	11.7	0	3.1	1.2	0	0	2.077	0	0	FALSE
19/04/2014	20.9	13.9	7.5	0	2.4	7.4	0	0	1.093	0	0	FALSE
20/04/2014	19.3	13.3	6.3	0	2.9	15.1	0	0	0.818	0	0	FALSE
21/04/2014	19.2	10.5	11.9	0	3.2	0	0	0	1.931	0	0	FALSE
22/04/2014	19.8	9.3	11.9	0	2.3	0	0	0	1.919	0	0	FALSE
23/04/2014	19.1	5.4	13.9	0	1.4	0	0	0	2.21	0	0	FALSE
24/04/2014	16.3	5.6	3.9	0	0.9	12.1	0	0	0.282	0	0	FALSE
25/04/2014	20.8	10.9	10.7	0	2.9	3.5	0	0	1.722	0	0	FALSE
26/04/2014	17.4	10.9	8.8	0	1.9	0	0	0	1.283	0	0	FALSE
27/04/2014	18.8	7.7	11.4	0	1.7	8.1	0	0	1.769	0	0	FALSE
28/04/2014	17	11.2	11	0	4.2	15.1	0	0	1.721	0	0	FALSE
29/04/2014	17.5	9.3	12.6	0	2.8	0	0	0	2.01	0	0	FALSE
30/04/2014	17.4	4	13.4	0	1.1	0	0	0	2.042	0	0	FALSE
01/05/2014	18.1	3.9	10.9	0	1.3	0	0	0	1.59	0	0	FALSE
02/05/2014	17.4	2.6	11.1	0	0.8	0	0	0	1.585	0	0	FALSE
03/05/2014	18.3	5.1	8.4	0	0.9	0	0	0	1.141	0	0	FALSE
04/05/2014	20.5	7.8	10.1	0	1	0	0	0	1.543	0	0	FALSE
05/05/2014	18	11.2	2.5	0	2.4	7.4	0	0	0.023	0	0	FALSE
06/05/2014	20.3	13.1	8.7	0	2.7	0	0	0	1.331	0	0	FALSE
07/05/2014	18.7	10.6	7.3	0	2.1	6.7	0	0	0.993	0	0	FALSE
08/05/2014	19	12.3	8.1	0	1.5	7.4	0	0	1.179	0	0	FALSE
09/05/2014	17.5	10.1	7.9	0	1.4	6.4	0	0	1.095	0	0	FALSE
10/05/2014	17	5.2	11.7	0	1.6	0	0	0	1.743	0	0	FALSE
11/05/2014	17.9	4.8	11.7	0	0.9	0	0	0	1.753	0	0	FALSE
12/05/2014	17.6	5	9.4	0	1.1	0	0	0	1.318	0	0	FALSE
13/05/2014	18.3	8.7	8.1	0	1.5	14	0	0	1.127	0	0	FALSE
14/05/2014	15	9.2	5.4	0	1.8	5.1	0	0	0.577	0	0	FALSE
15/05/2014	15.3	4.1	11.2	0	2.6	0	0	0	1.59	0	0	FALSE
16/05/2014	16.1	2.5	11.6	0	1.7	0	0	0	1.644	0	0	FALSE
17/05/2014	15.7	0.3	6.9	0	0.8	0	0	0	0.777	0	0	FALSE
18/05/2014	16.5	2	10.3	0	0.9	0	0	0	1.41	0	0	FALSE
19/05/2014	18.8	4.3	8.4	0	0.9	0	0	0	1.137	0	0	FALSE
20/05/2014	17.2	6	7.8	0	1.2	0	0	0	1.025	0	0	FALSE
21/05/2014	18	4.9	5.3	0	2.1	1.7	0	0	0.55	0	0	FALSE
22/05/2014	15.4	6.9	9.6	0	2.2	0	0	0	1.352	0	0	FALSE
23/05/2014	17.3	7.1	6.4	0	3.8	2.6	0	0	0.77	0	0	FALSE
24/05/2014	19.7	13.4	6.3	0	6.3	12.5	0	0	0.823	0	0	FALSE
25/05/2014	17	11.4	7.6	0	2.9	2.7	0	0	1.044	0	0	FALSE
26/05/2014	13	10.2	8.5	0	4.1	0	0	0	1.157	0	0	FALSE
27/05/2014	12.1	-1.7	10.8	0	1.1	0	0	0	1.332	0	0	FALSE
28/05/2014	13.2	-2.2	10.3	0	1	0	0	0	1.264	0	0	FALSE
29/05/2014	14.6	0.5	4	0	1.7	10.2	0	0	0.274	0	0	FALSE
30/05/2014	13.6	6.6	3.5	0	2.9	0	0	0	0.204	0	0	FALSE
31/05/2014	15	4.7	10.1	0	1.6	0	0	0	1.397	0	0	FALSE
01/06/2014	15.6	1.5	9	0	1.4	0	0	0	1.156	0	0	FALSE
02/06/2014	15.8	4.7	4.9	0	1.4	0	0	0	0.462	0	0	FALSE
03/06/2014	17.3	5.2	7.9	0	1.2	0	0	0	1.035	0	0	FALSE
04/06/2014	16.3	7.2	9.9	0	1.8	0	0	0	1.427	0	0	FALSE
05/06/2014	13.5	2.4	5.2	0	1.2	0	0	0	0.483	0	0	FALSE
06/06/2014	16.8	5.9	8.6	0	0.9	0	0	0	1.169	0	0	FALSE
07/06/2014	17.4	5.9	8.3	0	1.3	0	0	0	1.12	0	0	FALSE
08/06/2014	16.8	5.1	6.5	0	1.8	0	0	0	0.767	0	0	FALSE
09/06/2014	17.8	9	3.1	0	3	36.3	0	0	0.141	0	0	FALSE
10/06/2014	14.8	12.9	1.1	0	3.5	43.8	0	0	0	0	0	FALSE
11/06/2014	17.6	10.4	6.4	0	5.9	60.7	0	0	0.8	0	0	FALSE
12/06/2014	16.3	9.6	4.5	0	3.4	4	0	0	0.412	0	0	FALSE
13/06/2014	15.9	8.1	9.6	0	3	0	0	0	1.377	0	0	FALSE
14/06/2014	16	3	9.7	0	1.2	0	0	0	1.312	0	0	FALSE
15/06/2014	11.5	0.8	6	0	0.7	0	0	0	0.589	0	0	FALSE
16/06/2014	14.9	2.9	2.7	0	1.8	12	0	0	0.056	0	0	FALSE
17/06/2014	16.2	6.9	5.7	0	3.2	5.7	0	0	0.627	0	0	FALSE
18/06/2014	14.3	9.7	7.5	0	2.8	2.4	0	0	0.976	0	0	FALSE
19/06/2014	14.2	6.1	6.4	0	2.5	1.8	0	0	0.735	0	0	FALSE
20/06/2014	14.7	7.4	6.7	0	2.6	0	0	0	0.806	0	0	FALSE
21/06/2014	15	6.6	5.2	0	2.1	3.8	0	0	0.523	0	0	FALSE
22/06/2014	15	6.6	5.2	0	2.1	3.8	0	0	0.523	0	0	FALSE
23/06/2014	15.7	2.6	8.9	0	1	0	0	0	1.157	0	0	FALSE
24/06/2014	16.3	6	5.2	0	1.5	0	0	0	0.527	0	0	FALSE
25/06/2014	15.2	8.9	1.8	0	3	11.1	0	0	0	0	0	FALSE
26/06/2014	18.9	12.3	6	0	1.9	0	0	0	0.745	0	0	FALSE
27/06/2014	15.7	9	5.3	0	2.6	10.9	0	0	0.561	0	0	FALSE
28/06/2014	14.5	7.9	8.6	0	3.9	0	0	0	1.166	0	0	FALSE
29/06/2014	13.3	2.1	7	0	1	0	0	0	0.787	0	0	FALSE
30/06/2014	15.5	4.8	1.4	0	2.8	20	0	0	0	0	0	FALSE
01/07/2014	14.3	8	4	0	1.6	12.1	0	0	0.302	0	0	FALSE
02/07/2014	11.9	6.9	5.6	0	3	10.8	0	0	0.575	0	0	FALSE
03/07/2014	12.1	1.4	8.4	0	1.9	1.1	0	0	0.998	0	0	FALSE
04/07/2014	13.6	3.5	9.1	0	2.2	1.8	0	0	1.173	0	0	FALSE
05/07/2014	15.9	4.8	5.3	0	4.1	0	0	0	0.536	0	0	FALSE
06/07/2014	14.8	2.7	8.1	0	1	0	0	0	1.004	0	0	FALSE
07/07/2014	14.7	5.2	6.9	0	2.3	0	0	0	0.82	0	0	FALSE
08/07/2014	13	7.8	4.2	0	5.1	0	0	0	0.334	0	0	FALSE
09/07/2014	14.6	10.1	2.8	0	6.5	0	0	0	0.08	0	0	FALSE
10/07/2014	15.3	11.8	4.3	0	5.9	0	0	0	0.378	0	0	FALSE
11/07/2014	16.3	11.5	8.5	0	5.1	0	0	0	1.216	0	0	FALSE
12/07/2014	13.8	12.1	1.3	0	4.3	53.2	0	0	0	0	0	FALSE
13/07/2014	16.4	9.2	6.6	0	1.3	0	0	0	0.819	0	0	FALSE
14/07/2014	15.3	7.3	6.7	0	1.1	0	0	0	0.811	0	0	FALSE
15/07/2014	14	3.9	10.3	0	2.1	0	0	0	1.398	0	0	FALSE
16/07/2014	13	-0.5	10.7	0	1.4	0	0	0	1.359	0	0	FALSE
17/07/2014	11.8	2.3	8.7	0	2.2	0	0	0	1.057	0	0	FALSE
18/07/2014	12	-2.1	10.8	0	1	0	0	0	1.322	0	0	FALSE
19/07/2014	12.8	-2.6	8.6	0	2.1	0	0	0	0.981	0	0	FALSE
20/07/2014	15.4	0.3	6.7	0	3.2	10	0	0	0.739	0	0	FALSE
21/07/2014	13.5	6.1	10	0	2.5	0	0	0	1.377	0	0	FALSE
22/07/2014	10.9	1.5	11	0	2.6	0	0	0	1.406	0	0	FALSE
23/07/2014	14.7	-2.5	10.8	0	1.8	0	0	0	1.369	0	0	FALSE
24/07/2014	14.5	0.5	10.4	0	1.3	0	0	0	1.359	0	0	FALSE
25/07/2014	14.3	3.8	8.5	0	3	0	0	0	1.083	0	0	FALSE
26/07/2014	13.7	-0.4	10.9	0	1.8	0	0	0	1.408	0	0	FALSE
27/07/2014	13.9	2.4	10.4	0	1.6	0	0	0	1.385	0	0	FALSE
28/07/2014	13.9	-1.7	11.8	0	1.1	0	0	0	1.532	0	0	FALSE
29/07/2014	14	-0.3	7.9	0	1.3	5	0	0	0.917	0	0	FALSE
30/07/2014	17	3.3	8.5	0	2.3	0	0	0	1.12	0	0	FALSE
31/07/2014	18.2	8.3	9.5	0	2.2	0	0	0	1.396	0	0	FALSE
01/08/2014	17.7	7.2	7.3	0	1.5	0	0	0	0.948	0	0	FALSE
02/08/2014	19.2	10.6	6.4	0	3.3	13.9	0	0	0.816	0	0	FALSE
03/08/2014	14.7	13.2	3.8	0	2.6	7.2	0	0	0.282	0	0	FALSE
04/08/2014	13.8	5.2	7.5	0	1.5	0	0	0	0.917	0	0	FALSE
05/08/2014	14.5	5.2	8.5	0	2.5	0	0	0	1.107	0	0	FALSE
06/08/2014	13.9	7.2	8.9	0	3.2	2.2	0	0	1.204	0	0	FALSE
07/08/2014	13.7	2.4	8.8	0	2.4	4.7	0	0	1.105	0	0	FALSE
08/08/2014	14.3	8.2	9.7	0	4.1	2.3	0	0	1.373	0	0	FALSE
09/08/2014	11.4	0.4	13.5	0	2.3	0	0	0	1.797	0	0	FALSE
10/08/2014	12.9	-1	8.4	0	1.3	0	0	0	0.974	0	0	FALSE
11/08/2014	14.7	2.9	7.8	0	2.2	12.4	0	0	0.953	0	0	FALSE
12/08/2014	14.4	7.6	9.2	0	3.8	7.9	0	0	1.272	0	0	FALSE
13/08/2014	13	3.8	10.7	0	2.9	9.1	0	0	1.447	0	0	FALSE
14/08/2014	12.9	5.9	10.1	0	4.3	4.9	0	0	1.38	0	0	FALSE
15/08/2014	13.9	-0.1	13.4	0	2.7	0	0	0	1.835	0	0	FALSE
16/08/2014	15.5	5.1	13.9	0	3.1	0	0	0	2.116	0	0	FALSE
17/08/2014	15.3	0.4	14.2	0	0.9	0	0	0	2.024	0	0	FALSE
18/08/2014	14.5	1.4	11	0	1	0	0	0	1.48	0	0	FALSE
19/08/2014	13.9	4.3	5.3	0	2	9.5	0	0	0.517	0	0	FALSE
20/08/2014	17.6	8.9	9.8	0	2	2.8	0	0	1.455	0	0	FALSE
21/08/2014	16.4	9.8	13.5	0	2.9	0	0	0	2.174	0	0	FALSE
22/08/2014	13	-0.2	15.5	0	2.6	0	0	0	2.153	0	0	FALSE
23/08/2014	16.6	0.8	14.7	0	2	0	0	0	2.161	0	0	FALSE
24/08/2014	16.9	1.2	15.6	0	1.4	0	0	0	2.341	0	0	FALSE
25/08/2014	15.5	1.9	15.8	0	1.3	0	0	0	2.354	0	0	FALSE
26/08/2014	14.8	7.1	11.3	0	1.3	0	0	0	1.662	0	0	FALSE
27/08/2014	14.6	4	14.4	0	1.7	0	0	0	2.143	0	0	FALSE
28/08/2014	15.2	5.5	14.3	0	2.5	0	0	0	2.192	0	0	FALSE
29/08/2014	15.4	6	9.1	0	3.5	0	0	0	1.245	0	0	FALSE
30/08/2014	14.8	8.6	10	0	4.6	0	0	0	1.444	0	0	FALSE
31/08/2014	14.5	10	6.8	0	4.9	9.9	0	0	0.847	0	0	FALSE
01/09/2014	13.9	8.8	4.4	0	3.4	6	0	0	0.379	0	0	FALSE
02/09/2014	19.9	9.4	14.8	0	3.1	0	0	0	2.509	0	0	FALSE
03/09/2014	18.1	5.6	12.5	0	1.4	0	0	0	1.925	0	0	FALSE
04/09/2014	17.3	9.5	10.1	0	2.5	5.2	0	0	1.518	0	0	FALSE
05/09/2014	18.8	12.8	10.1	0	3.1	4.8	0	0	1.597	0	0	FALSE
06/09/2014	17.9	11.2	9.4	0	2.7	0	0	0	1.415	0	0	FALSE
07/09/2014	19.4	6.3	17.7	0	2	0	0	0	2.979	0	0	FALSE
08/09/2014	16.6	5	11	0	1.7	0	0	0	1.601	0	0	FALSE
09/09/2014	18	4	14.6	0	1.2	0	0	0	2.28	0	0	FALSE
10/09/2014	16.9	5.9	13	0	1.6	0	0	0	2	0	0	FALSE
11/09/2014	17.3	5.5	11.9	0	1.8	0	0	0	1.792	0	0	FALSE
12/09/2014	17.7	7.1	8.4	0	2.9	16.5	0	0	1.158	0	0	FALSE
13/09/2014	19.5	13.5	10.4	0	2.5	16	0	0	1.682	0	0	FALSE
14/09/2014	15.7	11.4	10.9	0	3.8	0	0	0	1.681	0	0	FALSE
15/09/2014	16.7	6.2	16.1	0	2.4	8.9	0	0	2.587	0	0	FALSE
16/09/2014	16.3	8.7	9.9	0	3.2	3.7	0	0	1.451	0	0	FALSE
17/09/2014	15.8	8.6	16.3	0	3.1	0	0	0	2.668	0	0	FALSE
18/09/2014	14.8	7	6.2	0	1.6	15	0	0	0.711	0	0	FALSE
19/09/2014	17.6	10.8	14	0	3.3	6.2	0	0	2.325	0	0	FALSE
20/09/2014	15.1	7.3	13.2	0	3.4	15.1	0	0	2.028	0	0	FALSE
21/09/2014	14.2	3.9	12.8	0	1.8	8.9	0	0	1.845	0	0	FALSE
22/09/2014	14	7.9	15.8	0	4.9	1.3	0	0	2.502	0	0	FALSE
23/09/2014	15.6	1.9	17.5	0	3.6	0	0	0	2.656	0	0	FALSE
24/09/2014	17.7	9.9	20	0	4	0	0	0	3.497	0	0	FALSE
25/09/2014	17.7	4.8	20.4	0	2.5	0	0	0	3.382	0	0	FALSE
26/09/2014	17.5	6.1	16.7	0	2.2	0	0	0	2.721	0	0	FALSE
27/09/2014	17	6	11.8	0	1.8	2.6	0	0	1.778	0	0	FALSE
28/09/2014	18.2	12.1	11.3	0	3.2	0	0	0	1.82	0	0	FALSE
29/09/2014	17.5	9.4	18.6	0	4.5	3.9	0	0	3.195	0	0	FALSE
30/09/2014	19.1	7.4	19.4	0	2.7	0	0	0	3.338	0	0	FALSE
01/10/2014	19.7	7.6	21.8	0	3.3	0	0	0	3.842	0	0	FALSE
02/10/2014	17.1	6.3	10.1	0	2.8	3.5	0	0	1.463	0	0	FALSE
03/10/2014	15.1	8.3	12.2	0	5.3	7.5	0	0	1.861	0	0	FALSE
04/10/2014	12.9	6.7	16.7	0	6.3	2.6	0	0	2.589	0	0	FALSE
05/10/2014	15.7	5.5	14.1	0	3.9	0	0	0	2.167	0	0	FALSE
06/10/2014	17.1	10	12.1	0	7.1	5	0	0	1.918	0	0	FALSE
07/10/2014	16.3	7.5	22.9	0	5.3	0	0	0	3.908	0	0	FALSE
08/10/2014	17.3	5.4	7.5	0	3.4	5.9	0	0	0.962	0	0	FALSE
09/10/2014	17.1	10.8	19.7	0	3.7	0	0	0	3.448	0	0	FALSE
10/10/2014	18.7	5.3	20.4	0	2.1	0	0	0	3.439	0	0	FALSE
11/10/2014	19.4	8.4	22.4	0	1.8	0	0	0	3.981	0	0	FALSE
12/10/2014	19.2	6.8	21.5	0	2.1	0	0	0	3.73	0	0	FALSE
13/10/2014	19	6.8	14.5	0	1.4	0	0	0	2.359	0	0	FALSE
14/10/2014	18.7	7.6	16.7	0	2.5	0	0	0	2.802	0	0	FALSE
15/10/2014	22.5	6.6	23.8	0	1.6	0	0	0	4.319	0	0	FALSE
16/10/2014	20.1	7.1	13.2	0	1.6	0	0	0	2.138	0	0	FALSE
17/10/2014	19.8	10.4	13.1	0	2.2	0	0	0	2.186	0	0	FALSE
18/10/2014	18.6	13.8	8	0	2.5	27.6	0	0	1.171	0	0	FALSE
19/10/2014	19.8	12.5	20.5	0	2	0	0	0	3.775	0	0	FALSE
20/10/2014	17.5	8	21.5	0	2.9	0	0	0	3.71	0	0	FALSE
21/10/2014	18.9	9.7	16.9	0	1.3	0	0	0	2.912	0	0	FALSE
22/10/2014	18.3	11	11.5	0	1.3	0	0	0	1.842	0	0	FALSE
23/10/2014	19.1	12.2	18.2	0	3	0	0	0	3.263	0	0	FALSE
24/10/2014	17.6	11.4	23.1	0	4.6	0	0	0	4.173	0	0	FALSE
25/10/2014	17.4	3.1	27.9	0	2.4	0	0	0	4.683	0	0	FALSE
26/10/2014	16.5	4.3	14.6	0	3.8	0	0	0	2.25	0	0	FALSE
27/10/2014	16.8	10.6	7.3	0	3.8	13.3	0	0	0.974	0	0	FALSE
28/10/2014	18.6	12.4	9.4	0	2.3	5	0	0	1.443	0	0	FALSE
29/10/2014	19.1	13.2	17.9	0	4.5	1.4	0	0	3.234	0	0	FALSE
30/10/2014	16.6	9.7	20.3	0	6.7	0	0	0	3.507	0	0	FALSE
31/10/2014	17.9	9.6	16.1	0	4.7	0	0	0	2.72	0	0	FALSE
01/11/2014	19.8	10.3	27.8	0	3.4	0	0	0	5.179	0	0	FALSE
02/11/2014	20.8	10	19.2	0	2.5	3.5	0	0	3.451	0	0	FALSE
03/11/2014	18.5	13.4	14.3	0	3.6	2.4	0	0	2.473	0	0	FALSE
04/11/2014	18	6.4	19.7	0	2	0	0	0	3.32	0	0	FALSE
05/11/2014	17.4	4.4	22.2	0	1.8	7.3	0	0	3.691	0	0	FALSE
06/11/2014	16.5	6.1	19.5	0	2.5	3.9	0	0	3.217	0	0	FALSE
07/11/2014	17.1	5.8	26.3	0	3.6	0	0	0	4.51	0	0	FALSE
08/11/2014	19.5	4.3	26.7	0	2.1	0	0	0	4.632	0	0	FALSE
09/11/2014	20.9	5.2	28	0	1.9	0	0	0	5.004	0	0	FALSE
10/11/2014	20	6.2	22.3	0	2.9	0	0	0	3.894	0	0	FALSE
11/11/2014	18	11.2	10.1	0	3.3	12.5	0	0	1.557	0	0	FALSE
12/11/2014	15.6	8.5	19.1	0	4.7	9.5	0	0	3.195	0	0	FALSE
13/11/2014	16.5	6.5	25.7	0	3.6	1.7	0	0	4.402	0	0	FALSE
14/11/2014	17.5	8.3	22.3	0	4.3	0	0	0	3.878	0	0	FALSE
15/11/2014	17.2	11.8	8.1	0	4.9	7.9	0	0	1.151	0	0	FALSE
16/11/2014	18.2	10.4	22.5	0	4.1	0	0	0	4.035	0	0	FALSE
17/11/2014	18.7	8.1	5.1	0	3	18.6	0	0	0.534	0	0	FALSE
18/11/2014	19	11.5	23.5	0	4.6	0	0	0	4.321	0	0	FALSE
19/11/2014	18.4	6.2	20.6	0	4.1	1.1	0	0	3.5	0	0	FALSE
20/11/2014	17.2	8.9	27	0	4.4	0	0	0	4.808	0	0	FALSE
21/11/2014	19.2	9.9	19.2	0	3.5	0	0	0	3.391	0	0	FALSE
22/11/2014	20.7	13	13.3	0	3.8	0	0	0	2.307	0	0	FALSE
23/11/2014	20.8	12.9	25.6	0	2.3	0	0	0	4.907	0	0	FALSE
24/11/2014	19.2	6.8	13	0	1	0	0	0	2.071	0	0	FALSE
25/11/2014	22.9	13.3	17.1	0	2.5	0	0	0	3.188	0	0	FALSE
26/11/2014	21.3	16	18.5	0	3.1	0	0	0	3.529	0	0	FALSE
27/11/2014	20.4	8.6	27.8	0	3.4	5	0	0	5.12	0	0	FALSE
28/11/2014	19.6	12.5	17.5	0	3.2	4.9	0	0	3.144	0	0	FALSE
29/11/2014	17.1	7.6	24.9	0	4	0	0	0	4.332	0	0	FALSE
30/11/2014	18.7	9.8	23	0	4.1	1.2	0	0	4.131	0	0	FALSE
01/12/2014	17.3	9	25.8	0	3.6	0	0	0	4.584	0	0	FALSE
02/12/2014	19.3	4.8	30.2	0	2.4	0	0	0	5.316	0	0	FALSE
03/12/2014	20.8	4.8	30.8	0	2.4	0	0	0	5.521	0	0	FALSE
04/12/2014	19.3	9	21.4	0	3.8	0	0	0	3.803	0	0	FALSE
05/12/2014	19.6	13.2	9.9	0	3.5	0	0	0	1.574	0	0	FALSE
06/12/2014	23	13.2	25.2	0	2.3	0	0	0	4.943	0	0	FALSE
07/12/2014	22.2	11.1	24.7	0	3.7	0	0	0	4.698	0	0	FALSE
08/12/2014	25.3	16.7	23.8	0	1.9	0	0	0	4.901	0	0	FALSE
09/12/2014	21.4	15.9	11.4	0	2	0	0	0	1.974	0	0	FALSE
10/12/2014	22.9	14.9	14.4	0	2.8	12.8	0	0	2.643	0	0	FALSE
11/12/2014	22.6	16.8	15.3	0	2.5	0	0	0	2.885	0	0	FALSE
12/12/2014	18.7	14	12.7	0	2.1	0	0	0	2.159	0	0	FALSE
13/12/2014	20.4	8.7	18	0	1	17.6	0	0	3.149	0	0	FALSE
14/12/2014	16.6	13	6	0	3.2	12.5	0	0	0.733	0	0	FALSE
15/12/2014	21.7	13.2	21.9	0	3.1	0	0	0	4.174	0	0	FALSE
16/12/2014	20.1	10.4	26.1	0	4.8	0	0	0	4.853	0	0	FALSE
17/12/2014	19.2	14.6	7.6	0	5	23.2	0	0	1.103	0	0	FALSE
18/12/2014	21.7	16.7	16.1	0	3.3	0	0	0	3.035	0	0	FALSE
19/12/2014	26.5	13.6	23.8	0	1.6	0	0	0	4.816	0	0	FALSE
20/12/2014	24.1	14.1	15.6	0	2.8	5.2	0	0	2.919	0	0	FALSE
21/12/2014	24	17.4	26.2	0	2.7	0	0	0	5.421	0	0	FALSE
22/12/2014	23.7	10.9	29.4	0	2	0	0	0	5.761	0	0	FALSE
23/12/2014	24.7	10.8	29	0	2	0	0	0	5.727	0	0	FALSE
24/12/2014	22.9	12.4	21.7	0	2.3	0	0	0	4.148	0	0	FALSE
25/12/2014	23.2	12.8	17.5	0	1.5	0	0	0	3.268	0	0	FALSE
26/12/2014	23.1	14.8	26.2	0	2.2	0	0	0	5.245	0	0	FALSE
27/12/2014	23.2	12.7	22	0	2.5	0	0	0	4.237	0	0	FALSE
28/12/2014	24.5	13.3	21.4	0	1.4	0	0	0	4.184	0	0	FALSE
29/12/2014	25.5	15.5	22.9	0	1.8	0	0	0	4.652	0	0	FALSE
30/12/2014	24.3	14.6	28.1	0	2.8	0	0	0	5.717	0	0	FALSE
31/12/2014	23.6	10.7	19.5	0	2.7	5.5	0	0	3.639	0	0	FALSE
01/01/2015	22.9	15.1	30.5	0	3.1	0	0	0	6.198	0	0	FALSE
02/01/2015	25.1	11.5	27.4	0	1.8	0	0	0	5.44	0	0	FALSE
03/01/2015	25.1	10.8	24.1	0	1.4	0	0	0	4.691	0	0	FALSE
04/01/2015	26.5	12.4	28.1	0	1.8	0	0	0	5.717	0	0	FALSE
05/01/2015	24.9	12.6	24.5	0	2.1	0	0	0	4.852	0	0	FALSE
06/01/2015	25.2	9.6	27.5	0	2.2	0	0	0	5.367	0	0	FALSE
07/01/2015	26.7	10.9	24.1	0	2.5	0	0	0	4.769	0	0	FALSE
08/01/2015	26.2	11.3	22.8	0	2.1	40.1	0	0	4.479	0	0	FALSE
09/01/2015	24.3	15.9	20	0	2.2	0	0	0	3.965	0	0	FALSE
10/01/2015	26.5	14.8	27.8	0	2.4	0	0	0	5.779	0	0	FALSE
11/01/2015	24.8	12.6	30.1	0	2.7	0	0	0	6.074	0	0	FALSE
12/01/2015	25.2	11.5	24.1	0	2.8	0	0	0	4.727	0	0	FALSE
13/01/2015	27.9	12.8	30.5	0	1.8	0	0	0	6.358	0	0	FALSE
14/01/2015	26.5	11.9	29.4	0	1.7	0	0	0	5.978	0	0	FALSE
15/01/2015	27.7	12.6	27.9	0	1.7	0	0	0	5.748	0	0	FALSE
16/01/2015	27	14.9	25.6	0	1.9	0	0	0	5.308	0	0	FALSE
17/01/2015	25.5	15.4	17.5	0	2	1.3	0	0	3.424	0	0	FALSE
18/01/2015	26.4	13.1	30	0	2.7	0	0	0	6.175	0	0	FALSE
19/01/2015	26	16.2	27.6	0	2.7	0	0	0	5.782	0	0	FALSE
20/01/2015	25.7	12.7	20.9	0	1.7	0	0	0	4.097	0	0	FALSE
21/01/2015	25.1	11	28.9	0	2.3	0	0	0	5.739	0	0	FALSE
22/01/2015	26.7	11.8	29	0	2.5	0	0	0	5.895	0	0	FALSE
23/01/2015	27.2	14.2	26.3	0	1.6	0	0	0	5.443	0	0	FALSE
24/01/2015	29.4	13.2	28.2	0	1.6	0	0	0	5.941	0	0	FALSE
25/01/2015	28.4	13.6	29	0	2	0	0	0	6.092	0	0	FALSE
26/01/2015	27.3	16.2	25.5	0	1.7	0	0	0	5.364	0	0	FALSE
27/01/2015	26.2	14.9	21.8	0	2	0	0	0	4.407	0	0	FALSE
28/01/2015	27.4	14.5	25.4	0	2.7	0	0	0	5.263	0	0	FALSE
29/01/2015	27.8	14.8	28.3	0	3.1	0	0	0	5.964	0	0	FALSE
30/01/2015	28.1	16	20.9	0	2.6	0	0	0	4.32	0	0	FALSE
31/01/2015	25.5	17.7	11.9	0	1.9	0	0	0	2.202	0	0	FALSE
01/02/2015	23.3	18.2	9.8	0	1.6	13.2	0	0	1.689	0	0	FALSE
02/02/2015	26.7	18.1	16	0	3	0	0	0	3.197	0	0	FALSE
03/02/2015	26	17.8	22.7	0	4	0	0	0	4.727	0	0	FALSE
04/02/2015	22.8	11.5	13.8	0	2.3	4.4	0	0	2.427	0	0	FALSE
05/02/2015	22.1	15.1	22.6	0	4.1	0	0	0	4.422	0	0	FALSE
06/02/2015	20.9	15.4	21.2	0	6.3	0	0	0	4.08	0	0	FALSE
07/02/2015	23	7.9	28.4	0	2.7	0	0	0	5.345	0	0	FALSE
08/02/2015	24.9	9	23	0	1.9	0	0	0	4.366	0	0	FALSE
