2011	201	58.8079024633615
2011	263	54.253688011814
2011	291	47.4753944949974
2011	316	48.1084851311319
2011	351	43.4739166163474
2012	18	52.5566432616702
2012	51	38.4144159139433
2012	87	46.4766845737944
2012	111	46.0952485147123
2012	140	38.2648634643966
2012	169	51.4663517933044
2012	239	47.9286411337252
2012	276	51.2785994088909
2012	304	56.6576110744898
2012	333	41.7709405759485
2012	355	45.4285472337988
2013	17	47.4951654625144
2013	64	40.0317416974345
2013	109	45.3165596225345
2013	144	54.8024703912081
2013	188	57.7176109949957
2013	227	53.3570802181168
2013	254	52.2588803627441
2013	284	48.4813777066228
2013	318	64.8937924414924
2013	344	51.2166743130036
2014	23	44.4601288604558
2014	65	45.3027199452725
2014	100	45.5662371028352
2014	134	54.5389532336454
2014	178	56.9211282320525
2014	213	57.6408576734706
2014	253	56.012657857845
2014	283	63.5498692993225
2014	311	61.0780898505042
2014	339	49.5136982726047
2015	8	50.9571113489444
2015	71	47.4628968179027
2015	114	44.6116584067542
2015	168	53.1054256410643
2015	216	59.3290054882317
2015	252	60.5490784386272
2015	279	63.7955925861198
2015	306	52.9242396434904
2015	329	46.4529594127739
2015	364	47.7007117176932
2016	47	48.8766534429668
2016	75	45.8837709692784
2016	99	50.8872778660503
2016	130	59.32702839148
2016	163	55.2319918689155
2016	202	53.8702748559802
2016	246	59.9601190276146
2016	271	55.7254155392619
2016	299	52.6146141640541
2016	327	53.5428555057786
2016	351	47.5030738495212
2017	37	41.2755398088504
2017	77	46.9338854060257
2017	101	48.5011486741398
2017	134	50.5717210963589
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
